"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22/16","-","Restricted Tender","1","PRINTING AND SUPPLY OF PHYTOSANITARY CERTIFICATES BOOKS","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","16th December, 2022","27th January, 2023","Ghana Cedi","Gh¢103400.00","MINIPACK PRESS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22/19","-","Restricted Tender","1","PRINTING AND SUPPLY OF VARIOUS VALUE BOOKS FOR TECHIMAN MUNICIPAL ASSEMBLY","Entity Tender Committee","38(a) – Limited Suppliers / Contractors","29th December, 2022","27th January, 2023","Ghana Cedi","Gh¢181620.00","RIGHTEOUS PRINTING PRESS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/29","-","Restricted Tender","1","PRINTING AND SUPPLY OF MIGRATION CARDS FOR GHANA IMMIGRATION SERVICE.","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","09th July, 2020","19th October, 2020","Ghana Cedi","Gh¢2315599.65","BUCK PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/6/2022","-","Restricted Tender","1","PRINTING AND SUPPLY OF GRA VAT INVOICE BOOKS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","20th September, 2022","11th November, 2022","Ghana Cedi","Gh¢3345000.00","INFO 7 LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/040","-","Restricted Tender","","Printing and Supply of General Counterfoil Receipt (GCR) books","ETC/PPA","-","08th November, 2018","08th February, 2019","Ghana Cedi","Gh¢885000.00","Yamens Press Ltd","","P. O. Box AF274, Adenta, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/040","-","Restricted Tender","1","PRINTING AND SUPPLY OF GENERAL COUNTERFOIL RECEIPT (GCR) BOOKS","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","01st November, 2018","02nd January, 2019","Ghana Cedi","Gh¢885000.00","Yamens Press","YAMENSPRESSLIMITED@GMAIL.COM","P.O.BOX AF 274 ADENTA ACCRA","030222322","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/041","-","Restricted Tender","","Printing and Supply of Electronic On-site Banking Receipts for Korle-Bu Teaching Hospital","ETC/PPA","-","06th June, 2018","04th July, 2018","Ghana Cedi","Gh¢150000.00","Checkpoint Ghana Limited","","P. O. Box 865, Mamprobi, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/011","-","Restricted Tender","","Printing and Supply of Komfo Anokye Teaching Hospital folders","ETC/PPA","-","28th March, 2018","28th March, 2018","Ghana Cedi","Gh¢241.80","YASARKO PRESS LIMITED","","P. O. Box 14238","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/011","-","Restricted Tender","","Printing and supply of Vehicle Income Tax Stickers Category D for 1st  Quarter 2018","ETC/PPA","-","22nd February, 2018","22nd March, 2018","Ghana Cedi","Gh¢250903.86","Aerovote Security Printing Ghana Limited","","P.O Box CT 6403, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/011","-","Restricted Tender","","VEHICLE INCOME TAX (VIT) STICKERS CATEGORY A FOR FIRST QUARTER, 2018","ETC/PPA","-","14th February, 2018","14th May, 2018","Ghana Cedi","Gh¢351900.00","Checkpoint Ghana Limited","","P. O. Box 865, Mamprobi, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/011","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) CATEGORY ""C"" FOR 1ST QUARTER 2018","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","14th February, 2018","11th March, 2018","Ghana Cedi","Gh¢214500.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/011","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) CATEGORY ""D"" FOR 1ST QUARTER 2018","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","14th February, 2018","14th March, 2018","Ghana Cedi","Gh¢250903.86","AEROVOTE SECURITY PRINTING GH LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/016","-","Restricted Tender","","Printing and Supply of Continuous Taxpayers Receipt Books (IT Form 140) for 1st quarter 2018","ETC/PPA","-","25th April, 2018","20th June, 2018","Ghana Cedi","Gh¢397.50","Checkpoint Ghana Limited","","P. O. Box 865, Mamprobi, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/016","-","Restricted Tender","1","PRINTING AND SUPPLY OF CONTINUOUS TAXPAYERS RECEIPT BOOKS (IT FORM 140) FOR 1ST QUARTER 2018","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","20th April, 2018","20th June, 2018","Ghana Cedi","Gh¢397500.00","CHECKPOINT GHANA LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/020","-","Restricted Tender","","Supply of holographic laminates for biometric passport issuance","ETC/PPA","-","28th March, 2018","23rd May, 2018","Ghana Cedi","Gh¢1450000.00","Checkpoint Ghana Limited","","P. O. Box 865, Mamprobi, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/020","-","Restricted Tender","1","SUPPLY OF HOLOGRAPHIC LAMINATES FOR BIOMETRIC PASSPORT ISSUANCE","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","27th March, 2018","27th May, 2018","Ghana Cedi","Gh¢1450000.00","CHECKPOINT GHANA LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/033","-","Restricted Tender","","Printing and Supply of Vehicle Record Form/Card for 1st Quarter 2018","ETC/PPA","-","08th March, 2018","09th April, 2018","Ghana Cedi","Gh¢303000.00","Cani Co Limited","","P.O.Box 5037, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/033","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) RECORD FORM/CARD (IT FORM 140C)","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","05th March, 2018","05th April, 2018","Ghana Cedi","Gh¢303000.00","CANI COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/034","-","Restricted Tender","","Printing and Supply of Embossed Prescription Pads for the Ministry of Health","ETC/PPA","-","29th March, 2018","16th August, 2018","Ghana Cedi","Gh¢18550000.00","Safeway Printing Works Limited","","P. O. Box 112, Legon","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/038","-","Restricted Tender","","Printing and Supply of Taxpayers Receipt Books (IT Form 140) for 1st Quarter 2018","ETC/PPA","-","09th March, 2018","04th May, 2018","Ghana Cedi","Gh¢540000.00","Sec-print Ghana Limited","","P.O.Box KIA 9677,Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/039","-","Restricted Tender","","Printing and Supply of Computerised Tax Credit Certificate (IT Form 140B) for 1st Quarter 2018","ETC/PPA","-","28th March, 2018","30th April, 2018","Ghana Cedi","Gh¢3196000.00","Buck Press Limited","","P. O. Box AN12321, Accra North","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/039","-","Restricted Tender","","Printing and Supply of Tax Credit Certificate Books (IT Form 140 B) for 1st Quarter 2018","ETC/PPA","-","08th March, 2018","09th April, 2018","Ghana Cedi","Gh¢340000.00","Primmond Limited","","P.O.Box 4733, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/039","-","Restricted Tender","","printing and supply of tax credit certificate books (IT Form 140 B) for 1st quarter 2018","ETC/PPA","-","08th March, 2018","05th April, 2018","Ghana Cedi","Gh¢340000.00","Primmond Limited","","P.O.Box 4733, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/039","-","Restricted Tender","1","PRINTING AND SUPPLY OF TAX CREDIT CERTIFICATE BOOKS (IT FORM 140B) FOR 1ST QUARTER 2018","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","05th March, 2018","05th April, 2018","Ghana Cedi","Gh¢340000.00","PRIMMOND LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/040","-","Restricted Tender","","Printing and Supply of Accounts Receipt Books (IT Form 140D) for 1st Quarter 2018","ETC/PPA","-","08th March, 2018","09th April, 2018","Ghana Cedi","Gh¢427000.00","Akira Limited","","P.O Box CT 3820, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/040","-","Restricted Tender","","Printing and Supply of electronic on-site banking receipts for the Komfo Anokye Teaching Hospital","ETC/PPA","-","06th June, 2018","04th July, 2018","Ghana Cedi","Gh¢150.00","Tripple  A Enterprise Ltd","","P.O Box LT 655,Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/041","-","Restricted Tender","1","PRINTING AND SUPPLY OF ELECTRONIC ON-SITE BANKING RECEIPT FOR KORLE BU TEACHING HOSPITAL","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","06th June, 2018","06th July, 2018","Ghana Cedi","Gh¢150000.00","CHECKPOINT GHANA LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/042","-","Restricted Tender","","Supply of Holographic laminates for biometric passport Issuance","ETC/PPA","-","11th June, 2018","06th August, 2018","Ghana Cedi","Gh¢2704000.00","Checkpoint Ghana Limited","","P. O. Box 865, Mamprobi, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/043","-","Restricted Tender","","Supply of NCR Carbonless watermarked security papers","ETC/PPA","-","11th June, 2018","03rd September, 2018","Ghana Cedi","Gh¢19081259.97","Checkpoint Ghana Limited","","P. O. Box 865, Mamprobi, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/17/043","-","Restricted Tender","1","PRINTING AND SUPPLY OF NCR CARBONLESS WATERMARKED SECURITY PAPERS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","11th June, 2018","11th September, 2018","Ghana Cedi","Gh¢19081259.97","CHECKPOINT GHANA LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/18/023","-","Restricted Tender","","Printing and supply of Valaue Added Tax (VAT) 3% Flat Rate Invoice Books","ETC/PPA","-","18th June, 2018","13th August, 2018","Ghana Cedi","Gh¢880000.00","Derisco Co Ltd","","Box AT 1426,Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0009/2016","-","Single Sourced","1","","Entity Tender Committee","-","11th July, 2016","01st August, 2016","Ghana Cedi","Gh¢165050.00","Benje Standard Furniture Works","","P .O. Box KN 2215 Achimota-Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0010/15/07","-","Single Sourced","1","","Entity Tender Committee","-","27th May, 2015","22nd July, 2015","Ghana Cedi","Gh¢89890.00","Benediction Printing Press","","Box GP 18570, Accra Central","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0010/15/08","-","Single Sourced","1","","Ministerial Tender Review Committee","-","27th July, 2015","21st September, 2015","Ghana Cedi","Gh¢508500.00","SHINE PRINT COMPANY LIMITED","","P. O. BOX KT 284 KOTOBABI - ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0010/15/09","-","Single Sourced","1","","Central Tender Review Committee","-","31st July, 2015","09th October, 2015","Ghana Cedi","Gh¢1225000.00","Yamens Press Limited","","P. O. Box AF 274, Adenta, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0010/15/11","-","Single Sourced","1","","Ministerial Tender Review Committee","-","28th July, 2015","22nd September, 2015","Ghana Cedi","Gh¢152470.00","SHINR PRINT COMPANY LIMITED","","P. O. BOX KT 284 KOTOBABI - ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0010/15/14","-","Single Sourced","1","","Entity Tender Committee","-","30th June, 2015","28th July, 2015","Ghana Cedi","Gh¢98100.00","BOSOMPEM BUSINESS VENTURES LIMITED","","P. O. BOX AN 318 NEW-TOWN, ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0010/21/01","-","Restricted Tender","1","PRINTING AND SUPPLY OF MODIFICATION STANDARD RATE INVOICE BOOKS (LOT 2)","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","07th June, 2021","08th August, 2021","Ghana Cedi","Gh¢598500.00","DERISCO COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0010/21/01","-","Restricted Tender","1","PRINTING AND SUPPLY OF VAT FLAT RATE SCHEME INVOICE BOOKS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd July, 2021","14th October, 2021","Ghana Cedi","Gh¢2870000.00","DERISCO COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0010/21/01","-","Restricted Tender","2","PRINTING AND SUPPLY OF MODIFIED STANDARD RATE INVOICE BOOKS (LOT 2)","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","07th June, 2021","08th August, 2021","Ghana Cedi","Gh¢598500.00","DERISCO COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0010/22","-","Restricted Tender","1","SUPPLY OF A WATERMARKED UV DULL SECURITY PAPER ( CBS2 )","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","21st December, 2022","08th February, 2023","Ghana Cedi","Gh¢496050.00","SUPREME CONCEPT CO. LTD","","P. O. BOX KB 182 KORLE- BU, ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0011/13/01","-","Single Sourced","1","","Entity Tender Committee","-","19th December, 2013","13th February, 2014","Ghana Cedi","Gh¢40000.00","GUIDEM LIMITED","","P.O.BOX A266 LA, ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0011/15/04","-","Single Sourced","1","","Central Tender Review Committee","-","15th April, 2016","29th April, 2016","Ghana Cedi","Gh¢1177350.00","ESINBLESS VENTURES","","P.O. BOX GP 4307 ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0011/2016/01","-","Restricted Tender","1","","Entity Tender Committee","40 (1)c - National Emergency / Catastrophic Event","16th June, 2016","15th July, 2016","Ghana Cedi","Gh¢3885578.75","NETSOLUTION GHANA LIMITED","","PMB PLT 25 C20 KWEIDORNUMAN - LASHIBI ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0013/11","-","Single Sourced","1","","Entity Tender Committee","-","14th September, 2012","16th November, 2012","Ghana Cedi","Gh¢38560.00","M/s A & E Options","","P.O.BOX 4706 ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0014/1","-","Restricted Tender","1","","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","25th July, 2014","19th September, 2014","Ghana Cedi","Gh¢1267152.51","NETSOLUTIONS GHANA LIMITED","","PMB Plot #25, C20 Lashibi - ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0014/19/04","-","Restricted Tender","1","PRINTING AND SUPPLY OF  COMPUTERIZED TAX CREDIT CERTIFICATE (IT FORM 140B) FOR 2ND QUARTER 2019","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","08th July, 2019","07th September, 2019","Ghana Cedi","Gh¢3562000.00","DERISCO COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0014/19/05","-","Restricted Tender","1","PRINTING AND SUPPLY COMPUTERIZED TAX CREDIT CERTIFICATES","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","02nd May, 2019","02nd July, 2019","Ghana Cedi","Gh¢4961250.00","BUCK PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0014/19/07","-","Restricted Tender","1","PRINTING AND SUPPLY OF MIGRATION CARDS FOR THE GHANA IMMIGRATION SERVICES (GIS)","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","17th July, 2019","07th September, 2019","Ghana Cedi","Gh¢2106000.00","BUCK PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0014/19/09","-","Restricted Tender","1","PRINTING AND SUPPLY OF VISA STICKER BOOKLETS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","08th July, 2019","08th September, 2019","Ghana Cedi","Gh¢5425000.00","BETHESDA PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0014/19/10","-","Restricted Tender","1","PRINTING AND SUPPLY OF TAX PAYERS RECEIPT BOOKS (IT FORM 140B) FOR 2019","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","23rd August, 2019","23rd October, 2019","Ghana Cedi","Gh¢1925000.00","3WM INTERNATIONAL COMPANY LIMITED","","","","-"
