"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Lower Manya Krobo District Assembly","ER/LMKMA/GSCSP/UDG/WKS/NCT/002/LOT 1/2020","NCT","Open Tender","lot 1","1. The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) towards the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for :   Bitumen Surfacing of Selected Roads  within Odumase -Krobo","Regional Tender Review Committee","04th January, 2021","01st October, 2022","Ghana Cedi","Gh¢2507035.35","MAMANJIA LIMITED","","","","-"
"Lower Manya Krobo District Assembly","ER/LMKMA/GSCSP/UDG/WKS/NCT/002/LOT 2/2020","NCT","Open Tender","lot 2","The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) towards the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for the :  Construction of Business Center at Odumase -Krobo","Regional Tender Review Committee","04th July, 2021","02nd July, 2022","Ghana Cedi","Gh¢3169220.46","SAMOTRUST COMPANY LIMITED","","","","-"
"Lower Manya Krobo District Assembly","LMKMA/GSCSP/UDG/WKS/NCT/LOT 1/2020","NCT","Open Tender","lot 1","Contract Description Construction of Two (2) Storey 82No Lockable Stores at Agormanya Market in Odumase Krobo (Phase 1)  Location Agormanya Market- Odumase Krobo  Completion Period 9 Calendar Months  Tender Security Amount (GH₵) 60,000.00","Regional Tender Review Committee","06th February, 2020","12th February, 2020","Ghana Cedi","Gh¢2994643.92","HAWKRAD CONSTRUCTION LIMITED","","","","-"
"Lower Manya Krobo District Assembly","LMKMA/GSCSP/UDG/WKS/NCT/LOT 2/2020","NCT","Open Tender","lot 2","Contract Description Construction of Two (2) Storey 106No Lockable Stores at Agormanya Market in Odumase Krobo (Phase 1)  Location Agormanya Market- Odumase Krobo  Completion Period 9 Calendar Months  Tender Security Amount (GH₵) 72,000.00","Regional Tender Review Committee","06th February, 2020","12th June, 2020","Ghana Cedi","Gh¢3188180.06","WIN MEG VENTURES LTD","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0031/2019","NCT","Open Tender","","Procurement of Laboratory Glassware for the Department of Chemistry, KNUST.","Entity Tender Committee","29th June, 2020","12th February, 2021","Ghana Cedi","Gh¢218107.65","LAB-AID LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0033/2019","NCT","Open Tender","","Procurement of Laboratory Chemicals for the Department of Chemistry, KNUST.","Entity Tender Committee","29th June, 2020","17th November, 2020","Ghana Cedi","Gh¢103604.62","LABCHEM LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0050/2019","NCT","Open Tender","","Procurement of 100 No. Solar Street Lights for the University.","Entity Tender Committee","29th June, 2020","05th February, 2021","Ghana Cedi","Gh¢561350.00","DIGITAL PLEX LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0007/2019","NCT","Open Tender","","Procurement of 400mts. 185mm2 X 4 Underground Armoured Copper Cable for the Termination of Wilkado Hostel Power Supply to KNUST Sub-Station Power Supply at Hall Six, KNUST.","HEAD OF ENTITY","27th July, 2020","11th September, 2020","Ghana Cedi","Gh¢6538.21","INTERCOM PROGRAMMING AND MANUFACTURING COMPANY LIMITED( IPMC)","","","","-"
"Volta River Authority","VRA/PRD/NCT/B/148720","NCT","Open Tender","1","Lot 1: Anesthesia Machine with Multiple Vaporizers Lot 2: Optical Coherence Tomography.","Central Tender Review Committee","30th July, 2020","11th December, 2020","Ghana Cedi","Gh¢137995.77","PACIFIC DIAGNOSTICS LIMITED","","","","-"
"Volta River Authority","VRA/FWA/B/148705","NCT","Open Tender","1","Framework Agreement for the Supply of Pharmaceuticals","ETC/PPA","05th August, 2020","29th July, 2022","Ghana Cedi","Gh¢371214.10","SUPRA PHARMA LIMITED","","","","-"
"Volta River Authority","VRA/FWA/B/148705","NCT","Open Tender","2","Framework Agreement for the Supply of Pharmaceuticals","ETC/PPA","27th August, 2020","29th July, 2022","Ghana Cedi","Gh¢4418125.30","EAST CANTONMENTS PHARMACY LIMITED","","","","-"
"Volta River Authority","VRA/FWA/B/148705","NCT","Open Tender","3","Framework Agreement for the Supply of Pharmaceuticals","ETC/PPA","03rd August, 2020","29th July, 2022","Ghana Cedi","Gh¢173884.91","KINAPHARMA LIMITED","","","","-"
"Volta River Authority","VRA/FWA/B/148705","NCT","Open Tender","4","Framework Agreement for the Supply of Pharmaceuticals","ETC/PPA","11th August, 2020","29th July, 2022","Ghana Cedi","Gh¢487344.00","SPINTEX CHEMISTS LTD","","","","-"
"Volta River Authority","VRA/FWA/B/148705","NCT","Open Tender","5","Framework Agreement for the Supply of Pharmaceuticals","ETC/PPA","03rd August, 2020","29th July, 2022","Ghana Cedi","Gh¢1109749.50","ESKAY THERAPEUTICS LTD","","","","-"
"Energy Commission","GR/ECOM/GD/VH/002/2012","NCT","Open Tender","1","Cross Country 4x4 Vehicle 4.0ltr. to 4.5ltr.","Ministerial Tender Review Committee","06th August, 2012","03rd October, 2012","USA Dollar","$104000.00","Stelin Automative and Trading Company Limited","","P. O. Box AN 19941 Accra Ghana","","-"
"Volta River Authority","VRA/FWA/B/148705","NCT","Open Tender","6","Framework Agreement for the Supply of Pharmaceuticals","ETC/PPA","29th July, 2020","29th July, 2022","Ghana Cedi","Gh¢117770.00","SAMOSPHARMA LIMITED","","","","-"
"Volta River Authority","VRA/FWA/B/148705","NCT","Open Tender","7","Framework Agreement for the Supply of Pharmaceuticals","ETC/PPA","10th August, 2020","29th July, 2022","Ghana Cedi","Gh¢371433.70","TOBINCO PHARMACEUTICALS LIMITED","","","","-"
"Volta River Authority","VRA/FWA/B/148705","NCT","Open Tender","8","Framework Agreement for the Supply of Pharmaceuticals","ETC/PPA","28th July, 2020","29th July, 2022","Ghana Cedi","Gh¢7000.00","PARACELSUS PHARMACY AND MARKETING COMPANY LIMITED","","","","-"
"Volta River Authority","VRA/FWA/B/148705","NCT","Open Tender","9","Framework Agreement for the Supply of Pharmaceuticals","ETC/PPA","25th September, 2020","29th July, 2022","Ghana Cedi","Gh¢42665.00","KOFIKROM PHARMACY LTIMITED","","","","-"
"Volta River Authority","VRA/FWA/B/148705","NCT","Open Tender","10","Framework Agreement for the Supply of Pharmaceuticals","ETC/PPA","31st July, 2020","29th July, 2022","Ghana Cedi","Gh¢214344.90","INTRAVENOUS INFUSIONS PLC","","","","-"
"University Of Ghana (UG)","GR/UG/BL/NCT/004/2020","NCT","Open Tender","Lot 1","Supply of Desktop Computers - 200 units","Entity Tender Committee","13th January, 2021","24th April, 2021","Ghana Cedi","Gh¢920000.00","GOODWILL SUPPLIES","","","","-"
"Tamale Technical University","SUPPLY AND INSTALLATION OF AIR CONDITIONERS, SUPPLY AND DELIVERY OF VEHICLES AND OTHER ITEMS","NCT","Open Tender","","No Description  IFT No. Unit Qty. Delivery period Funding 1.Supply and Installation of Air Conditions  NR/TaTU/GD/0007/2021 Pcs Various 3 Weeks IGF 2.Supply and Delivery of Station Wagon V8 NR/TaTU/GD/0013/2021 Pcs 1 6 weeks GETFund 3.Supply and Delivery of Station Wagon  NR/TaTU/GD/0017/2021 Pcs 2 6weeks GETFund 4.Supply and Delivery of Saloon Car NR/TaTU/GD/0019/2021 Pcs 1 6 weeks GETFund 5. Supply and Delivery of Saloon Car NR/TaTU/GD/0018/2021 Pcs 2 6 weeks GETFund 6.Supply and Delivery of ID Card Equipment and Printing Materials NR/TaTU/GD/0011/2021 pcs Various 6 weeks IGF 7. Supply and Delivery of 3- IN-1 Classroom Furniture NR/TaTU/GD/0012/2021 pcs 200 6 weeks IGF 8.Supply and Delivery of Sports Equipment NR/TaTU/GD/0041/2021 Pcs Various 3 weeks IGF","Entity Tender Committee","24th August, 2021","15th September, 2021","Ghana Cedi","Gh¢197546.40","EDERICK LIMITED","","","","-"
"Tamale Technical University","SUPPLY AND INSTALLATION OF AIR CONDITIONERS, SUPPLY AND DELIVERY OF VEHICLES AND OTHER ITEMS","NCT","Open Tender","","No Description  IFT No. Unit Qty. Delivery period Funding 1.Supply and Installation of Air Conditions  NR/TaTU/GD/0007/2021 Pcs Various 3 Weeks IGF 2.Supply and Delivery of Station Wagon V8 NR/TaTU/GD/0013/2021 Pcs 1 6 weeks GETFund 3.Supply and Delivery of Station Wagon  NR/TaTU/GD/0017/2021 Pcs 2 6weeks GETFund 4.Supply and Delivery of Saloon Car NR/TaTU/GD/0019/2021 Pcs 1 6 weeks GETFund 5. Supply and Delivery of Saloon Car NR/TaTU/GD/0018/2021 Pcs 2 6 weeks GETFund 6.Supply and Delivery of ID Card Equipment and Printing Materials NR/TaTU/GD/0011/2021 pcs Various 6 weeks IGF 7. Supply and Delivery of 3- IN-1 Classroom Furniture NR/TaTU/GD/0012/2021 pcs 200 6 weeks IGF 8.Supply and Delivery of Sports Equipment NR/TaTU/GD/0041/2021 Pcs Various 3 weeks IGF","Entity Tender Committee","24th August, 2021","05th October, 2021","Ghana Cedi","Gh¢408040.00","A. M. METAL AND CONSTRUCTION WORKS","","","","-"
"University Of Ghana (UG)","UG/GD/LC/NCT/003/2020","NCT","Open Tender","Lot 1","Supply of Saloon Car - Qty -1 unit.","Central Tender Review Committee","19th August, 2020","02nd April, 2021","Ghana Cedi","Gh¢135700.00","THE HONDA PLACE (GHANA) LIMITED","","","","-"
"University Of Ghana (UG)","GR/UOG/GD/0062/2021","NCT","Open Tender","Lot 1","The University of Ghana intends to apply part of its budgetary allocation and Internally Generated Funds to funds for the under-listed contract   Lot 1 - 15-Seater Bus Lot 2 - Tractor Lot 3 - Pick-Up","Central Tender Review Committee","12th July, 2021","09th September, 2021","Ghana Cedi","Gh¢338494.70","MECHANICAL LLOYD COMPANY LIMITED","","","","-"
"University Of Ghana (UG)","GR/UOG/CBAS/GD/0003/2021","NCT","Open Tender","1","The University of Ghana intends to apply part of its budgetary allocation and Internally Generated Funds to funds for the under-listed contract-   Supply of 61-Seater Buses - 3 Units","Central Tender Review Committee","12th July, 2021","27th August, 2021","Ghana Cedi","Gh¢172800.00","TATA AFRICA HOLDINGS (GHANA) LIMITED","","","","-"
"University Of Ghana (UG)","GR/UOG/GD/0009/2021","NCT","Open Tender","1","Supply of SUV Station Wagon - 1 unit","Central Tender Review Committee","12th July, 2021","09th September, 2021","Ghana Cedi","Gh¢279650.00","THE HONDA PLACE (GHANA) LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","50A and 100","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢50850.00","AMPONSAH-EFAH PHARMACEUTICALS LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","7,8and 143A","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢122962.50","DANADAMS PHARMACEUTICAL INDUSTRY LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","29,30 and 156","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢127537.50","WORLDWIDE HEALTHCARE LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","1,32,35,45A,49,74,79,81,82,95B,108,111B,127,136,143B,148,168,169,178,183,184,195,197and202","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢397092.00","ERNEST CHEMISTS LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","9A,10A,11,27,42,66B,71B,80B,92A,93and109A","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢1208100.00","ESKAY THERAPEUTICS LTD","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","147A and 147B","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢12168.00","FRANDAK AGENCY","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","23B,24A,38,62,73B,107B,138B,144 and190","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢331892.50","GB PHARMA (GH) LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","58,155,198A","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢126997.50","GOKALS LABOREX LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","41B,44A,96B,107A,110A,119A,175and204B","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢433875.00","HABMAY PHARMACY LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","52 and 86","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢4732.50","HERONA COMANY LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","113.115.116B,118,121,122,12,3B,124,140,166,180","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢928826.00","INTRAVENOUS INFUSIONS PLC","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","9B,43A,66A,70B,87,and141A","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢825502.50","KINAPHARMA LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","25,26,31,33,70A,90,141B,152,152,176,188 and 191","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢708600.00","DANNEX LTD.","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","5B and 94","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢58027.50","MOSAN FONTLIFE PHARMACY LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","40A,56,138A AND 192","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢163087.50","OA &J PHARMACEUTICALS LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","160 and 161B","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢107205.00","ALPHA DUO PHARMA LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","5A,10B,13,14,16,19B,20,36A,37,40B,41A,43B,53A,54B,55,98,99,102,103,109B,116A,117,119B,124A,128,139,142B,145,146,150A,163A,165and182","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢2546113.75","PHARMANOVA LIMITED","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","50Band71A","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢36753.00","PHYTO-RIKER (GIHOC) PHARMACEUTICALS LTD","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","51,137,158and200B","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢85687.50","ROCK CHEMISTS","","","","-"
"Central Regional Health Directorate","GHS/CR/RHD/NCT/GDS/B.1.1/2021","NCT","Open Tender","59,120Aand201","The Regional Health Directorate, Central Region is inviting sealed tenders for the supply of Essential Medicines.","Entity Tender Committee","21st July, 2021","04th August, 2021","Ghana Cedi","Gh¢182625.00","ROWENA HEALTHCARE LTD","","","","-"
